,City,City ID,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
0,North Bend,5742974,US,43.41,-124.22,63.0,77,1,13.87,1562558701
1,Male,695464,UA,50.74,33.7,61.61,94,100,3.71,1562558701
2,Mahebourg,934322,MU,-20.41,57.7,71.01,100,75,1.12,1562558702
3,Punta Arenas,3874787,CL,-53.16,-70.91,39.2,93,75,9.17,1562558583
4,Mataura,6201424,NZ,-46.19,168.86,45.0,82,100,8.99,1562558702
5,Tasiilaq,3424607,GL,65.61,-37.64,44.6,70,0,1.12,1562558702
6,Puerto Ayora,3652764,EC,-0.74,-90.35,71.01,95,7,14.7,1562558703
7,Clyde River,5924351,CA,70.47,-68.59,37.4,100,90,8.05,1562558703
8,Atuona,4020109,PF,-9.8,-139.03,80.06,76,3,13.35,1562558703
9,Zunyi,1783621,CN,27.73,106.92,66.15,99,100,3.38,1562558703
10,Kapaa,5848280,US,22.08,-159.32,84.2,66,20,12.75,1562558704
11,Port Alfred,964432,ZA,-33.59,26.89,57.99,70,1,5.01,1562558704
12,Mar del Plata,3863379,AR,-46.43,-67.52,39.31,87,100,6.38,1562558704
13,Thompson,6165406,CA,55.74,-97.86,62.6,93,90,4.7,1562558705
14,Bredasdorp,1015776,ZA,-34.53,20.04,61.0,67,2,14.99,1562558705
15,Barranca,3946820,PE,-10.75,-77.76,62.96,89,35,12.55,1562558705
16,Cidreira,3466165,BR,-30.17,-50.22,44.15,87,26,2.95,1562558705
17,Kerouane,2417886,GN,12.23,-12.34,91.4,52,75,6.93,1562558705
18,College,5859699,US,64.86,-147.8,78.8,44,1,4.7,1562558706
19,Ikongo,1064234,MG,-21.88,47.44,51.6,74,0,1.12,1562558706
20,Sao Felix do Xingu,3388847,BR,-6.64,-51.99,70.36,90,24,1.63,1562558706
21,Barrow,3833859,AR,-38.31,-60.23,45.59,73,65,13.85,1562558707
22,Yellowknife,6185377,CA,62.45,-114.38,48.2,76,75,16.11,1562558707
23,Qaqortoq,3420846,GL,60.72,-46.03,60.8,26,98,34.45,1562558707
24,Yumen,1528998,CN,40.29,97.04,73.11,36,65,7.54,1562558707
25,Fortuna,5563839,US,40.6,-124.16,64.99,93,90,9.17,1562558692
26,Souillac,3026644,FR,45.6,-0.6,64.99,93,0,5.14,1562558708
27,Makaryev,532138,RU,57.88,43.81,52.93,92,100,6.46,1562558708
28,Rikitea,4030556,PF,-23.12,-134.97,70.5,90,100,36.28,1562558537
29,Rincon,3711668,PA,8.46,-82.28,55.0,94,100,5.39,1562558709
30,Ust-Ishim,1488206,RU,57.69,71.17,65.25,67,40,7.76,1562558709
31,Bembereke,2395182,BJ,10.23,2.66,74.48,90,85,7.11,1562558709
32,Porto Walter,3662761,BR,-8.27,-72.74,60.48,79,0,2.3,1562558709
33,Erzin,296852,TR,36.95,36.2,79.0,94,40,1.57,1562558710
34,Nome,4732862,US,30.04,-94.42,84.99,94,1,5.82,1562558710
35,Svetlogorsk,584051,RU,53.14,59.15,62.6,55,100,8.95,1562558710
36,Albany,5106834,US,42.65,-73.75,66.0,72,1,3.36,1562558411
37,Poum,787487,MK,41.28,20.71,55.4,87,0,2.06,1562558710
38,Castro,3896218,CL,-42.48,-73.76,50.0,100,90,14.99,1562558711
39,Qaanaaq,3831208,GL,77.48,-69.36,43.57,65,100,2.75,1562558711
40,Cape Town,3369157,ZA,-33.93,18.42,61.0,87,90,11.41,1562558469
41,Bluff,2175403,AU,-23.58,149.07,68.43,66,61,10.69,1562558711
42,Jamestown,2069194,AU,-33.21,138.6,55.35,66,50,7.76,1562558411
43,Butaritari,2110227,KI,3.07,172.79,82.4,80,100,15.17,1562558711
44,Chuy,3443061,UY,-33.69,-53.46,42.66,76,100,7.38,1562558712
45,Kavieng,2094342,PG,-2.57,150.8,83.44,74,6,9.51,1562558712
46,Hermanus,3366880,ZA,-34.42,19.24,61.0,77,100,8.99,1562558586
47,Avarua,4035715,CK,-21.21,-159.78,75.2,73,67,6.93,1562558575
48,Namwala,901766,ZM,-15.75,26.45,46.6,46,0,4.16,1562558712
49,Tigil,2120612,RU,57.8,158.67,57.69,62,83,14.7,1562558713
50,Moranbah,6533368,AU,-22.0,148.04,71.35,61,68,14.58,1562558713
51,Cabo San Lucas,3985710,MX,22.89,-109.91,86.0,69,75,4.7,1562558606
52,Mosjoen,3145386,NO,65.84,13.19,52.0,93,75,6.93,1562558713
53,Berlevag,780687,NO,70.86,29.09,45.0,82,47,8.25,1562558713
54,San Quintin,1688687,PH,17.54,120.52,85.51,69,35,8.68,1562558714
55,Los Llanos de Aridane,2514651,ES,28.66,-17.92,71.6,73,75,14.99,1562558714
56,Novikovo,487928,RU,51.15,37.89,61.56,95,100,7.76,1562558714
57,Byron Bay,2172880,AU,-28.65,153.62,64.99,88,90,4.7,1562558715
58,Seymchan,2121373,RU,62.93,152.39,65.26,41,33,10.76,1562558715
59,Talnakh,1490256,RU,69.49,88.39,53.6,71,40,26.84,1562558715
60,Goderich,5962442,CA,43.74,-81.71,61.0,83,33,12.15,1562558715
61,Georgetown,3378644,GY,6.8,-58.16,75.2,94,0,2.24,1562558716
